"10090300","여성의류","스커트/치마","니트/골덴 스커트",,"0"
"10090400","여성의류","스커트/치마","면/데님 스커트",,"0"
"10090500","여성의류","스커트/치마","모직/캐시미어 스커트",,"0"
"10090600","여성의류","스커트/치마","미니 스커트",,"0"
"10090700","여성의류","스커트/치마","미디/롱 스커트",,"0"
"10090800","여성의류","스커트/치마","밴딩스커트",,"0"
"10090900","여성의류","스커트/치마","쉬폰/레이스 스커트",,"0"
"10091000","여성의류","스커트/치마","캉캉/티어드 스커트",,"0"
"10091100","여성의류","스커트/치마","캐주얼 스커트",,"0"
"10091200","여성의류","스커트/치마","플라워/패턴 스커트",,"0"
"10091300","여성의류","스커트/치마","플레어 스커트",,"0"
"10091400","여성의류","스커트/치마","플리츠/주름 스커트",,"0"
"10091500","여성의류","스커트/치마","하이웨이스트 스커트",,"0"
"10100100","여성의류","시즌/테마의류","레인코트",,"0"
"10100200","여성의류","시즌/테마의류","밸리/재즈/살사댄스복",,"0"
"10100300","여성의류","시즌/테마의류","생활한복/전통한복",,"0"
"10100400","여성의류","시즌/테마의류","유니폼/교복/가운",,"0"
"10100500","여성의류","시즌/테마의류","의류DIY/리폼부자재",,"0"
"10100600","여성의류","시즌/테마의류","코스튬/이벤트복",,"0"
"10100700","여성의류","시즌/테마의류","패션레저/아웃도어웨어",,"0"
"10110100","여성의류","원피스","나시/홀터넥 원피스",,"0"
"10110200","여성의류","원피스","롱 원피스",,"0"
"10110300","여성의류","원피스","루즈핏/박스 원피스",,"0"
"10110400","여성의류","원피스","모직/니트 원피스",,"0"
"10110500","여성의류","원피스","무지 원피스",,"0"
"10110600","여성의류","원피스","미니 원피스",,"0"
"10110700","여성의류","원피스","섹시 원피스",,"0"
"10110800","여성의류","원피스","셔링/드레이프 원피스",,"0"
"10110900","여성의류","원피스","쉬폰/레이스/프릴 원피스",,"0"
"10111000","여성의류","원피스","이지웨어 원피스",,"0"
"10111100","여성의류","원피스","정장 원피스",,"0"
"10111200","여성의류","원피스","체크/스트라이프 원피스",,"0"
"10111300","여성의류","원피스","캐주얼 원피스",,"0"
"10111400","여성의류","원피스","플라워/패턴 원피스",,"0"
"10120100","여성의류","자켓/코트","가죽/무스탕",,"0"
"10120200","여성의류","자켓/코트","니트코트/자켓",,"0"
"10120300","여성의류","자켓/코트","라이더자켓",,"0"
"10120400","여성의류","자켓/코트","롱자켓/코트",,"0"
"10120500","여성의류","자켓/코트","면/린넨 자켓",,"0"
"10120600","여성의류","자켓/코트","모직/알파카/울",,"0"
"10120700","여성의류","자켓/코트","미니/숏 자켓",,"0"
"10120800","여성의류","자켓/코트","벨벳/골덴",,"0"
"10120900","여성의류","자켓/코트","양털/퍼/모피",,"0"
"10121000","여성의류","자켓/코트","차이나/노카라",,"0"
"10121100","여성의류","자켓/코트","청자켓",,"0"
"10121200","여성의류","자켓/코트","케이프/망또 코트",,"0"
"10121300","여성의류","자켓/코트","테일러드/더블자켓",,"0"
"10121400","여성의류","자켓/코트","트렌치코트",,"0"
"10121500","여성의류","자켓/코트","트위드/체크 자켓",,"0"
"10121600","여성의류","자켓/코트","퍼 트리밍/장식 코트",,"0"
"10121700","여성의류","자켓/코트","하프자켓/코트",,"0"
"10130100","여성의류","점퍼/사파리","사파리/야상점퍼",,"0"
"10130200","여성의류","점퍼/사파리","야구점퍼",,"0"
"10130300","여성의류","점퍼/사파리","오리털/다운점퍼",,"0"
"10130400","여성의류","점퍼/사파리","집업/바람막이점퍼",,"0"
"10130500","여성의류","점퍼/사파리","패딩점퍼",,"0"
"10130600","여성의류","점퍼/사파리","후드집업점퍼",,"0"
"10140100","여성의류","정장/커리어룩","바지/팬츠",,"0"
"10140200","여성의류","정장/커리어룩","블라우스/셔츠",,"0"
"10140300","여성의류","정장/커리어룩","스커트/치마",,"0"
"10140400","여성의류","정장/커리어룩","원피스",,"0"
"10140500","여성의류","정장/커리어룩","자켓/코트",,"0"
"10140600","여성의류","정장/커리어룩","정장 세트",,"0"
"10140700","여성의류","정장/커리어룩","커리어룩 코디세트",,"0"
"10150100","여성의류","조끼/베스트","가죽/무스탕 베스트",,"0"
"10150200","여성의류","조끼/베스트","니트조끼",,"0"
"10150300","여성의류","조끼/베스트","롱/후드 베스트",,"0"
"10150400","여성의류","조끼/베스트","야상 베스트",,"0"
"10150500","여성의류","조끼/베스트","양털/퍼/밍크 베스트",,"0"
"10150600","여성의류","조끼/베스트","청/데님 베스트",,"0"
"10150700","여성의류","조끼/베스트","패딩/모직 베스트",,"0"
"10160100","여성의류","클럽의상/파티복","나시/탑/홀터넥",,"0"
"10160200","여성의류","클럽의상/파티복","럭셔리 파티복/드레스",,"0"
"10160300","여성의류","클럽의상/파티복","섹시 파티복/드레스",,"0"
"10160400","여성의류","클럽의상/파티복","스커트/치마",,"0"
"10160500","여성의류","클럽의상/파티복","원피스",,"0"
"10160600","여성의류","클럽의상/파티복","티셔츠/블라우스/니트",,"0"
"10160700","여성의류","클럽의상/파티복","핫팬츠/바지/청바지",,"0"
"10170100","여성의류","트레이닝/운동복","요가/피트니스 운동복",,"0"
"10170200","여성의류","트레이닝/운동복","트레이닝 상의",,"0"
"10170300","여성의류","트레이닝/운동복","트레이닝 세트",,"0"
"10170400","여성의류","트레이닝/운동복","트레이닝 하의-3부/7부",,"0"
"10170500","여성의류","트레이닝/운동복","트레이닝 하의-긴바지",,"0"
"10170600","여성의류","트레이닝/운동복","트레이닝 하의-스커트",,"0"
"10170700","여성의류","트레이닝/운동복","트레이닝복 소품",,"0"
"10170800","여성의류","트레이닝/운동복","트레이닝점퍼",,"0"
