"283","025008001","50006631"
"284","025008002","50006632"
"285","025008003","50006634"
"286","025008004","50006633"
"287","025008005","50006635"
"290","025007008","50006639"
"291","025007002","50006637"
"292","025007003","50006642"
"293","025007004","50006644"
"294","025007005","50006640"
"295","025007006","50006638"
"331","026005001","50006699"
"333","026006001","50006671"
"334","025009001","50006657"
"335","025009002","50006660"
"336","025009003","50006648"
"337","025009004","50006647"
"338","025009005","50006649"
"339","025009006","50008348"
"340","025009007","50006650"
"341","025009008","50006655"
"342","025010001","50006663"
"343","025010002","50006663"
"344","025010003","50006671"
"345","025011001","50006665"
"346","025011002","50006668"
"347","025011003","50006666"
"348","025011004","50006664"
"349","025012001","50006735"
"350","025012002","50006735"
"351","025012003","50006737"
"352","025012004","50006737"
"354","025013002","50006675"
"355","025013003","50006676"
"356","025013004","50006675"
"357","025013005","50006675"
"359","025013007","50006677"
"360","025014001","50006748"
"361","025014002","50006749"
"362","025014003","50006751"
"364","025015001","50006726"
"365","025015002","50006725"
"366","025015003","50008369"
"367","025015004","50008428"
"369","025015006","50006741"
"370","025015007","50006742"
"371","025015008","50006741"
"372","025016001","50007151"
"373","025016002","50007156"
"374","025016003","50007153"
"375","025016004","50007154"
"377","025016005","50006730"
"378","025016006","50007163"
"380","025016008","50007161"
"382","026002001","50006685"
"383","026002002","50006690"
"384","026002003","50006689"
"385","026002004","50006691"
"386","026002005","50006692"
"387","026004001","50006695"
"388","026004002","50006696"
"389","026006002","50006663"
"391","026006003","50006671"
"392","026007001","50006735"
"393","026007002","50006735"
"394","026007003","50006737"
"395","026005003","50006707"
"398","026009001","50006719"
"400","026010001","50006726"
"402","026010003","50006741"
"404","026011001","50006717"
"405","026011002","50006723"
"471","026002006","50006685"
"472","026002007","50006685"
"473","026001006","50006679"
"476","026001007","50006680"
"477","026002008","50006688"
"515","025007012","50006637"
"516","025007017","50006644"
"517","025007019","50006643"
"518","025007018","50006639"
"519","025007011","50006637"
"520","025007023","50006643"
"523","025007022","50006638"
"524","025007014","50006643"
"525","025007009","50006641"
"526","025007013","50006642"
"527","025007010","50006642"
"528","025007025","50006645"
"529","025007024","50006642"
"530","025007015","50006643"
"531","025007021","50006640"
"532","025007020","50006640"
"535","025007016","50006644"
"537","02600100900","50006680"
"539","02600100901","50006679"
"540","02600100901","50006679"
"541","02600100900","50006679"
"542","02600100900","50008388"
"543","02600100900","50006679"
"544","02600100900","50006679"
"545","02600100900","50006679"
"546","02600100900","50006679"
"547","02600100900","50006679"
"548","026001010","50006679"
"549","02600100901","50006679"
"550","02600100900","50006679"
"556","02600100901","50006679"
"561","025004001","50006655"
"562","025004002","50006655"
"563","025004003","50006655"
"564","025004004","50006655"
"565","025004005","50006655"
"566","025004006","50006655"
"567","025004007","50006656"
"568","025004008","50006655"
"570","025004010","50006655"
"588","026001011","50006680"
"589","026001012","50006679"
"590","026001013","50006683"
"591","026003001","50006705"
"592","026003002","50006705"
"593","026003003","50006705"
"594","026003004","50006705"
"595","026003005","50006705"
"596","026003006","50006705"
"597","026003007","50006705"
"598","026003008","50006706"
"599","026003009","50006705"
"602","02600100901","50006679"
"603","02600100901","50006679"
"604","02600100901","50006679"
"605","02600100901","50006679"
"606","02600100901","50006679"
"607","02600100901","50006679"
"608","02600100902","50006679"
"609","02600100902","50006679"
"610","026002009","50006693"
"611","02500800600","50006631"
"612","02500800600","50006631"
"613","02500800600","50006631"
"614","02500800600","50006631"
"615","02500800600","50006631"
"616","02500800600","50006631"
"617","02500800600","50006631"
"618","02500800600","50006631"
"619","02500800600","50006631"
"620","02500800601","50006631"
"621","02500800601","50006631"
"622","02500800601","50006631"
"623","02500800601","50006631"
"625","02500800601","50006631"
"626","02500800601","50006631"
"627","026002010","50006689"
"629","02500800601","50006631"
"630","02500800601","50006631"
"631","02500800601","50006631"
"632","02600100902","50006679"
"633","02600100902","50006679"
"636","02500800602","50006631"
"640","02500800602","50006631"
"641","02500800602","50008289"
"642","02500800602","50006631"
"643","02500800602","50006631"
"644","026010004","50008468"
"646","026012001","50006749"
"647","026012002","50006751"
"648","02600100902","50006680"
"649","02600100902","50006679"
"650","02600100902","50006679"
"651","02500800602","50006631"
"652","02500800602","50006631"
